strike,bid,ask,lastPrice,mid,volume,impliedVolatility,spot,expiry,trade_date,T,r
738.0,9.79,9.84,10.01,9.815,62.0,0.19687692779541016,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
739.0,9.36,9.41,9.64,9.385,7.0,0.19660227233886718,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
740.0,8.82,8.86,9.11,8.84,208.0,0.1941914077758789,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
741.0,8.42,8.48,8.41,8.45,4.0,0.1943134768676758,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
742.0,7.68,7.73,7.51,7.705,11.0,0.18811847045898436,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
743.0,7.34,7.38,7.7,7.359999999999999,66.0,0.18827105682373046,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
744.0,6.84,6.88,7.22,6.859999999999999,36.0,0.18567708862304685,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
745.0,6.25,6.3,6.28,6.275,176.0,0.18143518768310546,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
746.0,6.02,6.06,5.11,6.039999999999999,15.0,0.1828084649658203,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
747.0,5.46,5.51,5.65,5.484999999999999,10.0,0.17844449493408204,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
748.0,5.01,5.05,4.95,5.029999999999999,2.0,0.17536225036621095,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
749.0,4.65,4.69,4.7,4.67,6.0,0.17377535217285156,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
750.0,4.43,4.48,4.64,4.455,361.0,0.1747824221801758,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
751.0,3.98,4.02,4.23,4.0,18.0,0.17069310760498052,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
752.0,3.69,3.73,3.9,3.71,30.0,0.1695944857788086,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
753.0,3.41,3.44,3.37,3.425,15.0,0.1682212084960938,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
754.0,3.03,3.06,3.1,3.045,12.0,0.1645591357421875,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
755.0,2.76,2.79,2.84,2.775,654.0,0.16285016845703126,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
756.0,2.59,2.62,2.55,2.605,77.0,0.1631858584594727,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
757.0,2.32,2.35,2.49,2.335,9.0,0.16083602844238282,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
758.0,2.14,2.18,2.26,2.16,112.0,0.16059189025878906,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
759.0,1.84,1.88,1.85,1.8599999999999999,23.0,0.15662464477539065,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
760.0,1.66,1.69,1.83,1.6749999999999998,210.0,0.1550987811279297,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
761.0,1.56,1.59,1.48,1.5750000000000002,6.0,0.15589223022460938,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
762.0,1.4,1.42,1.38,1.41,27.0,0.15430533203125002,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
763.0,1.2,1.22,1.35,1.21,67.0,0.15125360473632815,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
764.0,1.08,1.1,1.09,1.09,14.0,0.1505211901855469,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
765.0,0.96,0.98,1.02,0.97,157.0,0.14936153381347655,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
766.0,0.88,0.9,0.89,0.89,10.0,0.149422568359375,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
767.0,0.75,0.77,0.83,0.76,29.0,0.14710325561523438,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
768.0,0.67,0.7,0.73,0.685,23.0,0.1469811865234375,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
769.0,0.59,0.61,0.52,0.6,6.0,0.14557739196777342,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
770.0,0.53,0.55,0.49,0.54,82.0,0.14539428833007811,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
771.0,0.5,0.52,0.32,0.51,5.0,0.14661497924804687,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
