strike,bid,ask,lastPrice,mid,volume,impliedVolatility,spot,expiry,trade_date,T,r
740.0,6.47,6.52,6.37,6.494999999999999,143.0,0.18396812133789062,737.0499877929688,2026-06-22,2026-06-09,0.03561643835616438,0.045
745.0,4.31,4.35,4.39,4.33,101.0,0.17295138580322267,737.0499877929688,2026-06-22,2026-06-09,0.03561643835616438,0.045
750.0,2.63,2.67,2.64,2.65,219.0,0.1624229266357422,737.0499877929688,2026-06-22,2026-06-09,0.03561643835616438,0.045
755.0,1.53,1.55,1.6,1.54,114.0,0.15479360839843753,737.0499877929688,2026-06-22,2026-06-09,0.03561643835616438,0.045
760.0,0.79,0.81,0.95,0.8,554.0,0.14740842834472656,737.0499877929688,2026-06-22,2026-06-09,0.03561643835616438,0.045
765.0,0.38,0.39,0.4,0.385,97.0,0.141610146484375,737.0499877929688,2026-06-22,2026-06-09,0.03561643835616438,0.045
770.0,0.18,0.2,0.25,0.19,161.0,0.1401453173828125,737.0499877929688,2026-06-22,2026-06-09,0.03561643835616438,0.045
775.0,0.1,0.12,0.1,0.11,4.0,0.14331911376953127,737.0499877929688,2026-06-22,2026-06-09,0.03561643835616438,0.045
738.0,9.23,9.28,10.01,9.254999999999999,62.0,0.19336744140625,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
739.0,8.58,8.63,9.64,8.605,7.0,0.18933916137695314,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
740.0,8.2,8.24,8.09,8.219999999999999,227.0,0.18930864410400394,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
741.0,7.64,7.69,8.41,7.665,4.0,0.18640950317382812,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
742.0,7.08,7.12,8.25,7.1,12.0,0.18290001678466794,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
743.0,6.7,6.74,6.71,6.720000000000001,170.0,0.1823201885986328,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
744.0,6.29,6.33,7.22,6.3100000000000005,36.0,0.18097742858886717,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
745.0,5.88,5.91,5.93,5.895,192.0,0.1792379440307617,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
746.0,5.35,5.39,5.42,5.369999999999999,20.0,0.17539276763916017,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
747.0,4.96,5.0,5.43,4.98,11.0,0.17356173126220703,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
748.0,4.62,4.66,5.11,4.640000000000001,4.0,0.17237155761718753,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
749.0,4.23,4.26,4.77,4.245,8.0,0.16974707214355472,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
750.0,3.93,3.97,3.91,3.95,474.0,0.1688925885009766,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
751.0,3.63,3.66,4.23,3.645,18.0,0.16739724212646484,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
752.0,3.31,3.35,3.5,3.33,32.0,0.16556620574951175,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
753.0,3.01,3.04,3.04,3.025,112.0,0.16339947937011723,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
754.0,2.75,2.77,2.85,2.76,90.0,0.16169051208496094,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
755.0,2.49,2.52,2.47,2.505,769.0,0.16013413116455077,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
